irish-03,1
irish-01,1
irish-02,1
ers-77,2
glasgow-07,2
glasgow-02,2
glasgow-11,2
glasgow-05,2
glasgow-13,2
glasgow-04,2
glasgow-09,2
glasgow-17,2
glasgow-08,2
glasgow-19,2
glasgow-06,2
sf-06,2
glasgow-18,2
glasgow-16,2
sf-11,2
glasgow-10,2
aspen-01,2
glasgow-15,2
glasgow-20,2
glasgow-01,2
glasgow-14,2
glasgow-12,2
glasgow-03,2
glasgow-21,2
ers-33,2
ers-23,2
ers-09,2
sf-08,3
oakland-02,3
ers-31,3
ers-38,3
ers-79,3
ers-68,3
ers-78,3
ers-40,3
ers-32,3
ers-36,3
sf-01,3
sf-03,3
ers-37,3
ers-11,3
ers-03,3
sf-14,3
sf-02,3
debian-05,3
ers-80,3
minneapolis-02,3
ers-14,3
ers-43,3
ers-57,3
ers-39,3
ers-10,3
sf-13,3
ers-29,3
debian-04,3
burlington-01,4
ers-05,4
ers-83,4
debian-03,4
ers-44,4
ers-16,4
ers-01,4
oakland-01,4
oakland-04,4
ers-56,4
burlington-02,4
sf-05,4
ers-12,4
ers-67,4
ers-71,4
ers-84,4
ers-65,4
pierce-04,4
apa-07,4
ers-07,4
apa-05,4
apa-04,4
apa-03,4
apa-02,4
apa-11,4
apa-01,4
ers-41,4
apa-12,4
apa-09,5
apa-08,5
ers-02,5
ers-04,5
apa-10,5
minneapolis-04,5
apa-06,5
oakland-05,5
ers-55,5
sf-07,5
ers-75,5
ers-06,5
ers-52,5
ers-13,5
sl-01,5
debian-08,5
ers-28,5
oakland-03,5
ers-42,5
ers-50,5
ers-48,5
ers-59,5
ers-54,5
ers-45,5
ers-30,5
ers-76,5
sf-10,5
ers-62,5
debian-02,5
aspen-02,5
debian-06,5
pierce-03,5
ers-73,5
ers-66,5
sl-03,5
ers-15,5
ers-51,5
uklabor-01,5
oakland-06,5
ers-26,5
sf-09,5
ers-19,5
ers-17,5
ers-20,5
ers-35,5
sf-12,5
ers-81,5
ers-70,5
ers-27,5
ers-82,5
pierce-01,5
ers-85,5
ers-86,5
ers-34,5
oakland-07,5
ers-61,5
ers-47,5
pierce-02,5
sl-02,5
ers-87,5
ers-46,5
ers-21,5
ers-72,5
sf-04,5
debian-01,5
ers-69,5
ers-64,5
debian-01,5
berkley-01,5
debian-07,5
debian-07,5
takomapark-01,5
berkley-01,5
ers-53,5
ers-74,5
ers-25,5
ers-49,5
ers-18,5
ers-22,5
ers-24,5
ers-58,5
ers-63,5
ers-08,5
ers-60,5
